type,id,Name,Age,Notes-age,Gender,Location,County or unitary authority,Country or english region,dod_day,dod_month,dod_year,Notes-dod,blurb,Died on streets,In hospital,Temp accomm,Recording by,reporting_by,reporting_link,Other Links,img_file,img_credit,notes
text2,dh0023,Unknown,,,Unknown,Bristol,Bristol,South West,,10,2017,Week commencing 9/10/2017,,x,,,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/four-homeless-people-bristol-died-625409,,,,
text2,dh0024,Unknown,,,Unknown,Bristol,Bristol,South West,,10,2017,Week commencing 9/10/2017,,,x,,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/four-homeless-people-bristol-died-625409,,,,
text2,dh0025,Unknown,,,Unknown,Bristol,Bristol,South West,,10,2017,Week commencing 9/10/2017,,,x,,,the Bristol Post,https://www.bristolpost.co.uk/news/bristol-news/four-homeless-people-bristol-died-625409,,,,
text1,dh0026,William Richardson,52,,M,Manchester,Manchester,North West,,10,2017,,Awaiting details.,,,,,a local charity,,,,,
text1,dh0027,Andre Meehan,,,M,Bristol,Bristol,South West,,10,2017,,Andre was sleeping rough when he died.,x,,,,Bristol Live,https://www.bristolpost.co.uk/news/bristol-news/homeless-people-died-bristol-list-1898971,,,,
text1,dh0028,William Morely,,,M,Bristol,Bristol,South West,,10,2017,,William was rough sleeping when he passed away.,x,,,,Bristol Live,https://www.bristolpost.co.uk/news/bristol-news/homeless-people-died-bristol-list-1898971,,,,
text1,dh0052,Richard Barlow,59,,M,London,,London,28,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0051,Anonymous,39,,F,Northampton,Northamptonshire,East Midlands,26,11,2017,,,,,,,a local charity,,,,,
photo,dh0049,Lindy Louise Pring,32,,F,Cardiff,Cardiff,Wales,25,11,2017,,"Thirty-two year old Lindy was found dead in Alexandra Gardens in Cardiff nine days before Christmas 2017. She was living in a tent with her partner Michael, he found her dead in the tent. She had chronic obstructive pulmonary disease. “It’s been a blur, I don’t know what’s going on, I don’t know where to turn,” Michael told a reporter from Channel 4 news. Her sister Leezette said she was waiting on news on the cause of death. Lindy’s was the 21st homeless death in Cardiff in three years.",x,,,,The Cardiffian,http://jomec.co.uk/thecardiffian/2017/11/28/woman-32-dies-cardiff-park-say-police/,"https://www.channel4.com/news/her-name-was-lindy-the-story-of-a-homeless-woman-who-died-on-the-streets, https://www.walesonline.co.uk/news/wales-news/32-year-old-woman-been-13968902",img/lindy-louise-pring.jpg,Channel 4 News,
text2,dh0050,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,25,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0048,Frank/Francis Neilson,57,,M,London,,London,19,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0047,Aaron Kenny Andrews,28,,M,Cambridge,Cambridgeshire,East of England,17,11,2017,,"Aaron, 28, died after falling from a fifth floor balcony, in suspicious circumstances. Staff at a night centre he would use, called him 'popular' saying: “Aaron was always helpful, polite and courteous to the staff team, volunteers and fellow guests”. A man was arrested and later bailed in connection to his death.",,x,,,Cambridge News,https://www.cambridge-news.co.uk/news/cambridge-news/aaron-kenny-andrews-hanover-court-13969634,,,,
text1,dh0046,Sanjeev Kumar,37,,M,Ilford,Ilford,London,16,11,2017,,Sanjeev's family in India had no idea he was sleeping rough. He died in November. ,,,,,the Ilford Recorder,http://www.ilfordrecorder.co.uk/news/winter-is-coming-family-s-shock-as-news-of-sanjeev-s-death-reaches-india-1-5319909,,,,
text2,dh0044,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,15,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text1,dh0045,Gareth Meadows,48,,M,Lizard,Cornwall,South West,15,11,2017,,Gareth Meadows was experiencing mental health issue and was living in his car. His body was found in the sea and an inquest found he died due to injuries consistent with a fall.,,,,,Cornwall Live,https://www.cornwalllive.com/news/cornwall-news/father-found-dead-sea-cornwall-1850457?fbclid=IwAR3WT3lKrX53d4mTFRS_QCiFe0a_mEWiC5DVdBMNHuaLEHiWAGGOVNdxSsA,,,,
text2,dh0043,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,14,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0042,Stephen Menzies,44,,M,London,,London,13,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0414,Stephen Menzies,,,M,Hackney,Hackney,London,13,11,2017,,Stephen was accessing local homelessness services when he died.,x,,,,a local charity,,,,,
text1,dh0039,Stella Jimmie,49,,F,London,,London,12,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0040,Salah Abdelhalim,49,,M,London,,London,12,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0041,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,12,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text1,dh0037,Fiona McCarthy,36,,F,London,,London,10,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0038,Buta Singh,37,,M,London,,London,10,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0036,James Bowles,30,,M,London,,London,7,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0034,Ronald Jones,60,,M,London,,London,6,11,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0035,Gordon,,,M,Dundee,Dundee City,Scotland,6,11,2017,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
photo,dh0033,Chris Conlin,31,,M,Leigh,Wigan,North West,5,11,2017,,"Chris was 31 when he died in November 2017. Chris, who was known as 'Bower', became homeless after the death of his mother and brother. Local residents who knew him said he prioritised food for his dog over himself. Greater Manchester Police say there were no suspicious circumstances surrounding Chris’ death. A GoFundMe page set up to pay for Chris’ funeral raised more than £2,200.",,x,,,the Leigh Journal,http://www.leighjournal.co.uk/news/15645285.Community_pay_tribute_to_grief_stricken__beautiful_and_polite__homeless_man_with_fundraising_campaigns_set_up_to_pay_for_his_funeral/,http://www.leighjournal.co.uk/news/15645285.Community_pay_tribute_to_grief_stricken__beautiful_and_polite__homeless_man_with_fundraising_campaigns_set_up_to_pay_for_his_funeral/,img/chris-conlin.jpg,the Leigh Journal,
text2,dh0030,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,3,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text2,dh0031,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,3,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text2,dh0032,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,3,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,x,,a local charity,,,,,
text2,dh0029,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,2,11,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0425,Artur Horoszko,40,,M,Luton,Luton,South East,2,11,2017,,Artur died of a suspected drug overdose. He was staying in a squat at the time.,,,,,a local charity,,,,,
text1,dh0427,Wladyshalw Sawicki,,,M,Luton,Luton,South East,1,11,2017,,Wladyslaw was sleeping rough though he died in a squat.,,,x,,a local charity,,,,,
text2,dh0053,Unknown,34,,M,Brighton,Brighton and Hove,South East,,11,2017,,Died of sepsis.,,,,,a local charity,,,,,
text2,dh0054,Unknown,41,,F,Brighton,Brighton and Hove,South East,,11,2017,,Had been in emergency accommodation but had just found a more permanent room. Suspected cause of death was complications caused by alcohol.,,,x,,a local charity,,,,,
text2,dh0055,Unknown,43,,M,Brighton,Brighton and Hove,South East,,11,2017,,Suspected drug overdose. Evicted day before death from emergency accommodation.,,,,,a local charity,,,,,
text1,dh0056,Ryszard Najdek,60,,M,Redbridge,Redbridge,London,,11,2017,,Ryszard's death was highlighted in a campaign by the Ilford Recorder.,,,,,the Ilford Recorder,http://www.ilfordrecorder.co.uk/news/winter-is-coming-back-our-campaign-to-help-the-homeless-in-redbridge-1-5310438,,,,
text1,dh0057,Balbaar Singh,42,,M,Redbridge,Redbridge,London,,11,2017,,Balbaar died in November. His death was highlighted in a campaign by the Ilford Recorder.,,,,,the Ilford Recorder,http://www.ilfordrecorder.co.uk/news/winter-is-coming-back-our-campaign-to-help-the-homeless-in-redbridge-1-5310438,,,,
text2,dh0058,Unknown,,,Unknown,The Outer Hebrides,Comhairle Na h-Eileanan Siar,Scotland,,11,2017,,We found out about this death through FOI and no more is known at this time.,,,,,a FOI request,,,,,
text1,dh0600,Denis Thomas Mcormick,,,M,Middlesborough,Middlesborough,Middlesborough,,11,2017,,"An inquest at Teesside Coroner’s Court heard that Mr McCormick had a history of drug abuse, sleeplessness and depression, having become increasingly reliant on medication prescribed initially to treat chronic back pain. He was found dead in his room at the Stages Academy on 22 November.",,,x,,the Northern Echo ,https://www.thenorthernecho.co.uk/news/15889189.drugs-overdose-killed-man-who-was-found-dead-at-the-stages-academy-in-middlesbrough/,,,,
text1,dh0080,Anthony Barnard,57,,M,Lowestoft,Suffolk,East of England,28,12,2017,,Anthony Barnard was found dead in the garden of his former home.,,,,,EDP24,https://www.edp24.co.uk/news/crime/anthony-barnard-death-lowestoft-froze-to-death-iopc-investigation-1-5711967,,,,
text1,dh0078,William Church-Barton,39,,M,London,,London,27,12,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0079,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,27,12,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0075,David Fuller ,41,,M,Chesterfield,Derbyshire,East Midlands,26,12,2017,,"David’s body was found inside a derelict building on Boxing Day night. The 41 year-old, was found on 4 January. The cause of death will be explored at an inquest. ",x,,,,the Derbyshire Times,https://www.derbyshiretimes.co.uk/news/investigations-continue-after-homeless-man-found-dead-in-chesterfield-1-8936377,https://www.derbyshiretimes.co.uk/news/action-taken-to-secure-chesterfield-building-after-homeless-man-death-1-8939795,,,
text1,dh0076,"""Scotch"" Allan Alexander",,,M,Taunton,Somerset,South West,26,12,2017,,"Allan died while sleeping rough in a car park in Taunton, on Boxing Day 2017. A fellow rough sleeper, Charles Gorst told local news: ""We went to sleep on the top layer of the car park. I had a quilt, but Alan didn't have anything except the clothes he was in. It was really cold and raining heavily. We were wet through.” Allan was from Glasgow but had lived in Taunton for around 10 years. The day before his death he was seen giving away a Christmas meal to a homeless woman by a member of the public.",x,,,,the Somerset County Gazette,http://www.somersetcountygazette.co.uk/news/15794311.BOXING_DAY_CAR_PARK_DEATH___This_shouldn_t_happen_in_Taunton_/,,,,
text2,dh0077,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,26,12,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0074,John Smith,30,,M,Chester,Cheshire West and Chester,North West,25,12,2017,,"Thirty-year-old John Smith was found dead on Christmas Day, in a hostel in Chester. John was from Glasgow and was believed to have arrived in Chester around three years ago. Head of a local homelessness charity, Cllr Rob Bisset reacted to John’s death saying: “It’s a crying shame. It’s a difficult situation we are facing on the streets at the moment. John was a likeable member of the homeless community and it’s sad he’s lost his life at such a young age.”  ",,,x,,the Chester Chronicle,https://www.chesterchronicle.co.uk/news/chester-cheshire-news/chester-homeless-man-found-dead-14089296,,,,
text1,dh0073,Christopher,,60s,M,London,,London,24,12,2017,,"Christopher, who was in his 60s, died in a packed homeless shelter on Christmas Eve. A volunteer for Crisis described finding his body. “He lay down under a blanket on the floor in the sleeping area and never got up again,” wrote Ros Ponder on Facebook. “No one should be taking their last breath in a place like this - on the floor of a sports hall, in a makeshift dormitory shared with 130 other people who had nowhere else to go,” she continued. ",,,x,,the Independent,http://www.independent.co.uk/news/uk/home-news/homeless-man-dies-london-shelter-chirstmas-eve-packed-christopher-crisis-a8140971.html,http://www.huffingtonpost.co.uk/entry/homeless-shelter-death-at-christmas_uk_5a57a980e4b0f5da618358a2 / https://www.facebook.com/ros.ponder/posts/10155056993927793,,,
text1,dh0072,Darren Ledger,50,,M,London,,London,23,12,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0071,Anonymous,51,,M,Northampton,Northamptonshire,East Midlands,22,12,2017,,,,,,,a local charity,,,,,
text1,dh0069,Leslie Smith,45,,M,Hull,Kingston upon Hull,Yorkshire and the Humber,20,12,2017,,"An inquest found that Leslie died after taking Spice with friends, who later dragged his lifeless body back to his hostel room. A post mortem revealed Mr Smith had suffered with small airway disease and mild heart hypertension.",,,x,,Metro,https://metro.co.uk/2018/07/27/homeless-man-dumped-by-friends-after-taking-spice-and-left-to-die-7768512/,,,,
text1,dh0070,Dennis Austin,,,M,London,,London,20,12,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,a local charity,,,,,
text1,dh0067,Dene Nuttall,51,,M,London,,London,19,12,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text2,dh0068,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,19,12,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0066,John Lowton,50,,M,London,,London,18,12,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0428,Przemyslaw Mierzynski,45,,M,Luton,Luton,South East,18,12,2017,,Przemyslaw was thought to be sleeping rough when he died.,x,,,,a local charity,,,,,
photo,dh0064,Paul Williams,38,,M,Birmingham,Birmingham,West Midlands,17,12,2017,,"Paul was found dead on the streets outside the Bullring Shopping Centre in Birmingham, following a cardiac arrest. The 38 year old was found by a homeless-outreach officer called Rob Yasai. “When I pulled the blankets away I found he had basically frozen to death,” Rob said.",x,,,,Metro,http://metro.co.uk/2017/12/19/homeless-man-froze-death-outside-bullring-shopping-centre-named-paul-williams-7170065/,https://www.theguardian.com/society/2017/dec/22/this-man-died-sleeping-on-birmingham-streets-what-happened-to-his-life,img/paul-williams.jpg,Andrew Fox for The Guardian,
text1,dh0065,Melvyn Park,44,,M,London,,London,17,12,2017,,"This person was remembered at the St Martin's in the Fields, annual homeless memorial service. ",,,,,collected for memorial service by national charity,,,,,
text1,dh0551,George Adam Dyson,21,,M,Manchester,Manchester,North West,15,12,2017,,"George died in a homeless hostel, he had previously been sleeping rough. A post mortem found: ""extremely high"" levels of the opiate painkiller Oxycodone and the Epilepsy and anti-anxiety drug Pregabalin in his system when he died"". The coroner noted: ""George was very young and it was tragic he died at a time when it appeared he was making progress, being re-housed in a supportive environment with a partner he had been with for some time.""",,,x,,Manchester Evening News,https://www.manchestereveningnews.co.uk/news/greater-manchester-news/inquest-homeless-man-overdose-longsight-15897228,,,,
text2,dh0063,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,12,12,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
photo,dh0062,Brodie Rippingale,31,,M,Falmouth,Cornwall,South West,6,12,2017,,"Scottish born Brodie died aged 31, in the closed doorway of a shut Salvation Army office in Falmouth, on 6 December 2017. His close friend Louise Picktahll told local news Cornwall Live: ""Brodie was one of the most genuine people around. He never cared for materialistic things, designer clothing or television. His passion was music and travelling around the UK meeting new people and living life to the fullest."" A crowdfunding page was setup to help pay for this funeral.",x,,,,Cornwall Live,https://www.cornwalllive.com/news/cornwall-news/tributes-paid-homeless-man-found-885330,https://www.cornwalllive.com/news/cornwall-news/man-found-dead-falmouth-street-898406,img/brodie-rippingale.jpg,Cornwall Live,
photo,dh0059,Neculai Popa,33,,M,Islington,Islington,London,5,12,2017,,"Neculai was a Big Issue seller. He had lived in the UK for 10 years but lost his job four years ago. He had been sleeping rough and in shelters since. Concerned about his health, local residents started crowdfunding to help pay for medical treatment, but Neculai died on 5 December.",,,,,the Islington Tribune,http://islingtontribune.com/article/tragic-death-comes-weeks-after-rough-sleepers-pledge,https://www.justgiving.com/crowdfunding/amparo-escobedo-1,img/neculai-popa.jpg,the Islington Tribune,
text1,dh0060,Rodney Wood,46,,M,Hanley,Stoke-on-Trent,West Midlands,5,12,2017,,"Rodney, a 46 year old man, went into cardiac arrest while staying at Brighter Futures’ Hope Street hostel in Hanley, Stoke. He had previously slept rough for an extended period. A month after the death, city officials were criticised for removing homeless people’s tents. An inquest into his death found traces of black mamba and Monkey Dust in his system.",,,x,,the Stoke Sentinel,https://www.stokesentinel.co.uk/news/stoke-on-trent-news/councillors-call-action-following-death-899997,https://www.stokesentinel.co.uk/homeless-man-46-who-called-2562420,,,
text2,dh0061,Unknown,,,Unknown,Glasgow,Glasgow,Scotland,5,12,2017,,This death was heard about through FOI and no more is known at this time. ,,,,,a FOI request,,,,,
text1,dh0426,Miroslaw Strulak,48,,M,Luton,Luton,South East,5,12,2017,,Miroslaw died of throat cancer in hospital. He had been sleeping rough previously.,,x,,,a local charity,,,,,
text2,dh0081,Unknown,35,,F,Brighton,Brighton and Hove,South East,,12,2017,,Died in hospital but was living on the streets.,,x,,,a local charity,,,,,
text2,dh0082,Unknown,41,,F,Hastings,East Sussex,South East,,12,2017,Between the 26th and 31st of December,,,,,,the Hastings Observer,https://www.hastingsobserver.co.uk/news/police-confirm-three-homeless-deaths-in-hastings-in-six-days-1-8320499,https://www.hastingsobserver.co.uk/news/three-homeless-deaths-in-hastings-since-christmas-according-to-coroner-s-office-1-8316342 / https://www.hastingsobserver.co.uk/news/politics/amber-rudd-homeless-deaths-a-tragedy-1-8316731,,,
text1,dh0083,Darren Greenfield,48,,M,Edinburgh,Edinburgh,Scotland,,12,2017,,"Died in hospital aged 48, after years sleeping rough. The former soldier had an infection and a stroke. According to local news reports he had served with the 2nd Royal Tank Regiment, the Royal Army Pay Corps and the Adjutant General's Corps. He became homeless after leaving the army.",,x,,,the Daily Record,https://www.dailyrecord.co.uk/news/scottish-news/he-hero-grieving-sister-pays-11895419,,,,
photo,dh0084,Nigel Walley,50,,M,Leeds,Leeds,Yorkshire and the Humber,,12,2017,,"Nigel, who died a few days before Christmas was known as a ""gentle giant"" according to reports in the Yorkshire Evening Post. ",,,,,the Yorkshire Evening Post,https://www.yorkshireeveningpost.co.uk/news/family-tribute-to-gentle-giant-of-leeds-s-streets-1-8934928,,img/nigel-walley.jpg,the Yorkshire Evening Post,
text2,dh0085,Unknown,52,,M,Hastings,East Sussex,South East,,12,2017,Between the 26th and 31st of December,,,,,,the Hastings Observer,https://www.hastingsobserver.co.uk/news/police-confirm-three-homeless-deaths-in-hastings-in-six-days-1-8320499,https://www.hastingsobserver.co.uk/news/three-homeless-deaths-in-hastings-since-christmas-according-to-coroner-s-office-1-8316342 / https://www.hastingsobserver.co.uk/news/politics/amber-rudd-homeless-deaths-a-tragedy-1-8316731,,,
text2,dh0086,Unknown,56,,M,,East Sussex,South East,,12,2017,Between the 26th and 31st of December,,,,,,the Hastings Observer,https://www.hastingsobserver.co.uk/news/police-confirm-three-homeless-deaths-in-hastings-in-six-days-1-8320499,https://www.hastingsobserver.co.uk/news/three-homeless-deaths-in-hastings-since-christmas-according-to-coroner-s-office-1-8316342 / https://www.hastingsobserver.co.uk/news/politics/amber-rudd-homeless-deaths-a-tragedy-1-8316731,,,
text1,dh0087,Louise Beddingfield,,,F,Bognor Regis,West Sussex,South East,,12,2017,,Louise was known to be sleeping rough near a shopping precinct in Bognor Regis. Her death prompted messages of sympathy on social media.,,,,,the Bognor Regis Herald,https://medium.com/@jancosgrove1945/bognor-regis-herald-louise-has-died-she-was-young-and-homeless-in-bognor-7ffd2c70b31,,,,
text1,dh0088,Kevin O'Hanlon,54,,M,Manchester,Manchester,North West,,12,2017,,Awaiting details.,,,,,a local charity,,,,,
text1,dh0089,Kumarasamy Vasanthakumar,,,M,London,,London,,12,2017,,,,,,,a local charity,,,,,
text1,dh0507,Darren James,,,M,London,,London,,12,2017,,Darren died in an alley near Goldhawk Road tube station. He had been in an out of homelessness for some time. To memorialise his life his sister set up a not-for-profit called Homeless Worldwide. ,,,,,the Big Issue,,,,,
text1,dh0090,Nigel Ogeah,,,M,Bristol,Bristol,South West,,,2017,Between 1 Oct 2017 and 31 Dec 2017,Nigel was in medium support accommodation for two years nine months before he died.,,,x,,Bristol Live,https://www.bristolpost.co.uk/news/bristol-news/homeless-people-died-bristol-list-1898971,,,,
